gcode,itemcode,desc,Custom,Lighthouse,Cornerstone
B,B0918,Base Door & Drawer - TANDEM ONLY,T,T,F
B,B0924,Base Door & Drawer - TANDEM ONLY,T,T,T
B,B0930,Base Door & Drawer - TANDEM ONLY,T,T,T
B,B0936,Base Door & Drawer - TANDEM ONLY,T,T,F
B,B0948,Base Door & Drawer - TANDEM ONLY,T,T,F
B,B1218,Base Door & Drawer,T,T,F
B,B1224,Base Door & Drawer,T,T,T
B,B1230,Base Door & Drawer,T,T,T
B,B1236,Base Door & Drawer,T,T,F
B,B1248,Base Door & Drawer,T,T,F
B,B1518,Base Door & Drawer,T,T,F
B,B1524,Base Door & Drawer,T,T,T
B,B1530,Base Door & Drawer,T,T,T
B,B1536,Base Door & Drawer,T,T,T
B,B1548,Base Door & Drawer,T,T,T
B,B1818,Base Door & Drawer,T,T,T
B,B1824,Base Door & Drawer,T,T,T
B,B1830,Base Door & Drawer,T,T,T
B,B1836,Base Door & Drawer,T,T,T
B,B1848,Base Door & Drawer,T,T,T
B,B2118,Base Door & Drawer,T,T,T
B,B2124,Base Door & Drawer,T,T,T
B,B2130,Base Door & Drawer,T,T,T
B,B2136,Base Door & Drawer,T,T,T
B,B2148,Base Door & Drawer,T,T,T
B,B2418,Base Door & Drawer,T,T,T
B,B2424,Base Door & Drawer,T,T,T
B,B2430,Base Door & Drawer,T,T,T
B,B2436,Base Door & Drawer,T,T,T
B,B2448,Base Door & Drawer,T,T,T
B,B2718,Base Door & Drawer,T,T,T
B,B2724,Base Door & Drawer,T,T,T
B,B2730,Base Door & Drawer,T,T,T
B,B2736,Base Door & Drawer,T,T,T
B,B2748,Base Door & Drawer,T,T,T
B,B3018,Base Door & Drawer,T,T,T
B,B3024,Base Door & Drawer,T,T,T
B,B3030,Base Door & Drawer,T,T,T
B,B3036,Base Door & Drawer,T,T,T
B,B3048,Base Door & Drawer,T,T,T
B,B3318,Base Door & Drawer,T,T,T
B,B3324,Base Door & Drawer,T,T,T
B,B3330,Base Door & Drawer,T,T,T
B,B3336,Base Door & Drawer,T,T,T
B,B3348,Base Door & Drawer,T,T,T
B,B3618,Base Door & Drawer,T,T,T
B,B3624,Base Door & Drawer,T,T,T
B,B3630,Base Door & Drawer,T,T,T
B,B3636,Base Door & Drawer,T,T,T
B,B3648,Base Door & Drawer,T,T,T
B,B3918,Base Door & Drawer,T,T,T
B,B3924,Base Door & Drawer,T,T,T
B,B3930,Base Door & Drawer,T,T,T
B,B3936,Base Door & Drawer,T,T,T
B,B3948,Base Door & Drawer,T,T,T
B1D,B1D0918,Base 1 Drawer - TANDEM ONLY,T,T,T
B1D,B1D1218,Base 1 Drawer,T,T,T
B1D,B1D1518,Base 1 Drawer,T,T,T
B1D,B1D1818,Base 1 Drawer,T,T,T
B1D,B1D2118,Base 1 Drawer,T,T,T
B1D,B1D2418,Base 1 Drawer,T,T,T
B1D,B1D2718,Base 1 Drawer,T,T,T
B1D,B1D3018,Base 1 Drawer,T,T,T
B1D,B1D3318,Base 1 Drawer,T,T,T
B1D,B1D3618,Base 1 Drawer,T,T,T
B1D,B1D3918,Base 1 Drawer,T,T,T
B1D,B1D4218,Base 1 Drawer,T,T,T
B1D,B1D4518,Base 1 Drawer,T,T,T
B1D,B1D4818,Base 1 Drawer,T,T,T
B2D,B2D0918,Base 2 Drawer - TANDEM ONLY,T,T,T
B2D,B2D0924,Base 2 Drawer - TANDEM ONLY,T,T,T
B2D,B2D0930,Base 2 Drawer - TANDEM ONLY,T,T,T
B2D,B2D1218,Base 2 Drawer,T,T,T
B2D,B2D1224,Base 2 Drawer,T,T,T
B2D,B2D1230,Base 2 Drawer,T,T,T
B2D,B2D1518,Base 2 Drawer,T,T,T
B2D,B2D1524,Base 2 Drawer,T,T,T
B2D,B2D1530,Base 2 Drawer,T,T,T
B2D,B2D1818,Base 2 Drawer,T,T,T
B2D,B2D1824,Base 2 Drawer,T,T,T
B2D,B2D1830,Base 2 Drawer,T,T,T
B2D,B2D2118,Base 2 Drawer,T,T,T
B2D,B2D2124,Base 2 Drawer,T,T,T
B2D,B2D2130,Base 2 Drawer,T,T,T
B2D,B2D2418,Base 2 Drawer,T,T,T
B2D,B2D2424,Base 2 Drawer,T,T,T
B2D,B2D2430,Base 2 Drawer,T,T,T
B2D,B2D2718,Base 2 Drawer,T,T,T
B2D,B2D2724,Base 2 Drawer,T,T,T
B2D,B2D2730,Base 2 Drawer,T,T,T
B2D,B2D3018,Base 2 Drawer,T,T,T
B2D,B2D3024,Base 2 Drawer,T,T,T
B2D,B2D3030,Base 2 Drawer,T,T,T
B2D,B2D3318,Base 2 Drawer,T,T,T
B2D,B2D3324,Base 2 Drawer,T,T,T
B2D,B2D3330,Base 2 Drawer,T,T,T
B2D,B2D3618,Base 2 Drawer,T,T,T
B2D,B2D3624,Base 2 Drawer,T,T,T
B2D,B2D3630,Base 2 Drawer,T,T,T
B2D,B2D3918,Base 2 Drawer,T,T,T
B2D,B2D3924,Base 2 Drawer,T,T,T
B2D,B2D3930,Base 2 Drawer,T,T,T
B2D,B2D4218,Base 2 Drawer,T,T,T
B2D,B2D4224,Base 2 Drawer,T,T,T
B2D,B2D4230,Base 2 Drawer,T,T,T
B2D,B2D4518,Base 2 Drawer,T,T,T
B2D,B2D4524,Base 2 Drawer,T,T,T
B2D,B2D4530,Base 2 Drawer,T,T,T
B2D,B2D4818,Base 2 Drawer,T,T,T
B2D,B2D4824,Base 2 Drawer,T,T,T
B2D,B2D4830,Base 2 Drawer,T,T,T
B3D,B3D0918,Base 3 Drawer - TANDEM ONLY,T,T,T
B3D,B3D0924,Base 3 Drawer - TANDEM ONLY,T,T,T
B3D,B3D0930,Base 3 Drawer - TANDEM ONLY,T,T,T
B3D,B3D0936,Base 3 Drawer - TANDEM ONLY,T,T,T
B3D,B3D1218,Base 3 Drawer,T,T,T
B3D,B3D1224,Base 3 Drawer,T,T,T
B3D,B3D1230,Base 3 Drawer,T,T,T
B3D,B3D1236,Base 3 Drawer,T,T,T
B3D,B3D1518,Base 3 Drawer,T,T,T
B3D,B3D1524,Base 3 Drawer,T,T,T
B3D,B3D1530,Base 3 Drawer,T,T,T
